domain,token,count,classification,notes
color,border-accent/40,4,compliant,tailwind color utility in TSX
color,border-amber-400,4,drift,tailwind color utility in TSX
color,border-amber-500,4,drift,tailwind color utility in TSX
color,border-amber-800,4,drift,tailwind color utility in TSX
color,border-emerald-500,4,drift,tailwind color utility in TSX
color,border-emerald-800,4,drift,tailwind color utility in TSX
color,border-gray-500,4,near-duplicate,tailwind color utility in TSX
color,border-green-700/60,4,drift,tailwind color utility in TSX
color,border-red-500,4,drift,tailwind color utility in TSX
color,border-red-600,4,drift,tailwind color utility in TSX
color,ring-blue-400,4,drift,tailwind color utility in TSX
color,text-orange-500,4,drift,tailwind color utility in TSX
color,text-slate-900,4,near-duplicate,tailwind color utility in TSX
color,text-teal-300,4,drift,tailwind color utility in TSX
color,text-white/35,4,near-duplicate,tailwind color utility in TSX
color,bg-accent/5,3,compliant,tailwind color utility in TSX
color,bg-amber-900/50,3,drift,tailwind color utility in TSX
color,bg-black/45,3,near-duplicate,tailwind color utility in TSX
color,bg-blue-400,3,drift,tailwind color utility in TSX
color,bg-cyan-700,3,drift,tailwind color utility in TSX
color,bg-cyan-900,3,drift,tailwind color utility in TSX
color,bg-cyan-900/50,3,drift,tailwind color utility in TSX
color,bg-emerald-950/35,3,drift,tailwind color utility in TSX
color,bg-gray-800/40,3,near-duplicate,tailwind color utility in TSX
color,bg-green-600,3,drift,tailwind color utility in TSX
color,bg-orange-700,3,drift,tailwind color utility in TSX
color,bg-purple-50/50,3,drift,tailwind color utility in TSX
color,bg-red-400,3,drift,tailwind color utility in TSX
color,bg-rose-50,3,drift,tailwind color utility in TSX
color,bg-teal-900/40,3,drift,tailwind color utility in TSX
color,border-gray-700/40,3,near-duplicate,tailwind color utility in TSX
color,border-red-700/60,3,drift,tailwind color utility in TSX
color,border-white/10,3,near-duplicate,tailwind color utility in TSX
color,ring-blue-500/25,3,drift,tailwind color utility in TSX
color,text-cyan-200,3,drift,tailwind color utility in TSX
color,text-cyan-800,3,drift,tailwind color utility in TSX
color,text-green-500,3,drift,tailwind color utility in TSX
color,text-indigo-300,3,drift,tailwind color utility in TSX
color,text-indigo-700,3,drift,tailwind color utility in TSX
color,text-slate-100,3,near-duplicate,tailwind color utility in TSX
color,text-slate-400,3,near-duplicate,tailwind color utility in TSX
color,text-slate-500,3,near-duplicate,tailwind color utility in TSX
color,text-teal-700,3,drift,tailwind color utility in TSX
color,bg-amber-200,2,drift,tailwind color utility in TSX
color,bg-amber-400,2,drift,tailwind color utility in TSX
color,bg-amber-600,2,drift,tailwind color utility in TSX
color,bg-amber-700,2,drift,tailwind color utility in TSX
color,bg-black/60,2,near-duplicate,tailwind color utility in TSX
color,bg-black/80,2,near-duplicate,tailwind color utility in TSX
color,bg-cyan-900/30,2,drift,tailwind color utility in TSX
color,bg-emerald-500/30,2,drift,tailwind color utility in TSX
color,bg-gray-300/60,2,near-duplicate,tailwind color utility in TSX
color,bg-gray-50/70,2,near-duplicate,tailwind color utility in TSX
color,bg-gray-500,2,near-duplicate,tailwind color utility in TSX
color,bg-gray-700/30,2,near-duplicate,tailwind color utility in TSX
color,bg-gray-900/50,2,near-duplicate,tailwind color utility in TSX
color,bg-gray-900/60,2,near-duplicate,tailwind color utility in TSX
color,bg-indigo-600,2,drift,tailwind color utility in TSX
color,bg-indigo-900,2,drift,tailwind color utility in TSX
color,bg-indigo-900/50,2,drift,tailwind color utility in TSX
color,bg-purple-950/20,2,drift,tailwind color utility in TSX
color,bg-purple-950/30,2,drift,tailwind color utility in TSX
color,bg-rose-900/20,2,drift,tailwind color utility in TSX
color,bg-sky-900,2,drift,tailwind color utility in TSX
color,bg-slate-800,2,near-duplicate,tailwind color utility in TSX
color,bg-violet-600,2,drift,tailwind color utility in TSX
color,bg-violet-700,2,drift,tailwind color utility in TSX
color,bg-violet-800,2,drift,tailwind color utility in TSX
color,bg-white/10,2,near-duplicate,tailwind color utility in TSX
color,bg-white/5,2,near-duplicate,tailwind color utility in TSX
color,bg-white/60,2,near-duplicate,tailwind color utility in TSX
color,bg-white/70,2,near-duplicate,tailwind color utility in TSX
color,bg-yellow-200,2,drift,tailwind color utility in TSX
color,bg-yellow-800,2,drift,tailwind color utility in TSX
color,border-accent/30,2,compliant,tailwind color utility in TSX
color,border-amber-600,2,drift,tailwind color utility in TSX
color,border-amber-700/60,2,drift,tailwind color utility in TSX
color,border-cyan-200,2,drift,tailwind color utility in TSX
color,border-cyan-800,2,drift,tailwind color utility in TSX
color,border-emerald-400,2,drift,tailwind color utility in TSX
color,border-green-400,2,drift,tailwind color utility in TSX
color,border-purple-700,2,drift,tailwind color utility in TSX
color,border-rose-300,2,drift,tailwind color utility in TSX
color,border-rose-700,2,drift,tailwind color utility in TSX
color,border-slate-300/50,2,near-duplicate,tailwind color utility in TSX
color,border-slate-600/70,2,near-duplicate,tailwind color utility in TSX
color,border-yellow-400,2,drift,tailwind color utility in TSX
color,divide-gray-700,2,near-duplicate,tailwind color utility in TSX
color,ring-blue-900/40,2,drift,tailwind color utility in TSX
color,ring-gray-400,2,near-duplicate,tailwind color utility in TSX
color,text-amber-700/90,2,drift,tailwind color utility in TSX
color,text-indigo-200,2,drift,tailwind color utility in TSX
color,text-indigo-800,2,drift,tailwind color utility in TSX
color,text-rose-200,2,drift,tailwind color utility in TSX
color,text-rose-400,2,drift,tailwind color utility in TSX
color,text-sky-200,2,drift,tailwind color utility in TSX
color,text-sky-800,2,drift,tailwind color utility in TSX
color,text-yellow-100,2,drift,tailwind color utility in TSX
color,text-yellow-500,2,drift,tailwind color utility in TSX
color,text-yellow-900,2,drift,tailwind color utility in TSX
color,bg-amber-800,1,drift,tailwind color utility in TSX
color,bg-amber-900/70,1,drift,tailwind color utility in TSX
color,bg-black,1,near-duplicate,tailwind color utility in TSX
color,bg-black/5,1,near-duplicate,tailwind color utility in TSX
color,bg-black/70,1,near-duplicate,tailwind color utility in TSX
color,bg-blue-50/70,1,drift,tailwind color utility in TSX
color,bg-blue-700/60,1,drift,tailwind color utility in TSX
color,bg-blue-900/60,1,drift,tailwind color utility in TSX
color,bg-cyan-50/60,1,drift,tailwind color utility in TSX
color,bg-cyan-600,1,drift,tailwind color utility in TSX
color,bg-cyan-800,1,drift,tailwind color utility in TSX
color,bg-cyan-900/20,1,drift,tailwind color utility in TSX
color,bg-cyan-900/40,1,drift,tailwind color utility in TSX
color,bg-emerald-700,1,drift,tailwind color utility in TSX
color,bg-emerald-800,1,drift,tailwind color utility in TSX
color,bg-emerald-900/40,1,drift,tailwind color utility in TSX
color,bg-emerald-950/20,1,drift,tailwind color utility in TSX
color,bg-emerald-950/30,1,drift,tailwind color utility in TSX
color,bg-fuchsia-100,1,drift,tailwind color utility in TSX
color,bg-fuchsia-500,1,drift,tailwind color utility in TSX
color,bg-fuchsia-900/30,1,drift,tailwind color utility in TSX
color,bg-gray-100/80,1,near-duplicate,tailwind color utility in TSX
color,bg-gray-200/40,1,near-duplicate,tailwind color utility in TSX
color,bg-gray-50/50,1,near-duplicate,tailwind color utility in TSX
color,bg-gray-50/80,1,near-duplicate,tailwind color utility in TSX
color,bg-gray-700/60,1,near-duplicate,tailwind color utility in TSX
color,bg-gray-900/35,1,near-duplicate,tailwind color utility in TSX
color,bg-gray-950,1,near-duplicate,tailwind color utility in TSX
color,bg-green-400,1,drift,tailwind color utility in TSX
color,bg-green-700/60,1,drift,tailwind color utility in TSX
color,bg-green-800,1,drift,tailwind color utility in TSX
color,bg-indigo-700,1,drift,tailwind color utility in TSX
color,bg-indigo-900/30,1,drift,tailwind color utility in TSX
color,bg-orange-50/50,1,drift,tailwind color utility in TSX
color,bg-orange-700/60,1,drift,tailwind color utility in TSX
color,bg-orange-900/10,1,drift,tailwind color utility in TSX
color,bg-purple-200/50,1,drift,tailwind color utility in TSX
color,bg-purple-800/50,1,drift,tailwind color utility in TSX
color,bg-purple-900/10,1,drift,tailwind color utility in TSX
color,bg-red-900/10,1,drift,tailwind color utility in TSX
color,bg-red-950/40,1,drift,tailwind color utility in TSX
color,bg-rose-500,1,drift,tailwind color utility in TSX
color,bg-rose-950/20,1,drift,tailwind color utility in TSX
color,bg-sky-500,1,drift,tailwind color utility in TSX
color,bg-sky-900/40,1,drift,tailwind color utility in TSX
color,bg-slate-900/10,1,near-duplicate,tailwind color utility in TSX
color,bg-slate-900/8,1,near-duplicate,tailwind color utility in TSX
color,bg-teal-600,1,drift,tailwind color utility in TSX
color,bg-teal-700,1,drift,tailwind color utility in TSX
color,bg-teal-900/50,1,drift,tailwind color utility in TSX
color,bg-violet-900,1,drift,tailwind color utility in TSX
color,bg-violet-900/50,1,drift,tailwind color utility in TSX
color,bg-yellow-600,1,drift,tailwind color utility in TSX
color,bg-yellow-700/60,1,drift,tailwind color utility in TSX
color,border-accent/25,1,compliant,tailwind color utility in TSX
color,border-accent/70,1,compliant,tailwind color utility in TSX
color,border-cyan-300,1,drift,tailwind color utility in TSX
color,border-cyan-700,1,drift,tailwind color utility in TSX
color,border-emerald-600,1,drift,tailwind color utility in TSX
color,border-gray-200/70,1,near-duplicate,tailwind color utility in TSX
color,border-gray-50,1,near-duplicate,tailwind color utility in TSX
color,border-gray-700/80,1,near-duplicate,tailwind color utility in TSX
color,border-green-300,1,drift,tailwind color utility in TSX
color,border-green-600,1,drift,tailwind color utility in TSX
color,border-indigo-300,1,drift,tailwind color utility in TSX
color,border-indigo-300/60,1,drift,tailwind color utility in TSX
color,border-indigo-400,1,drift,tailwind color utility in TSX
color,border-indigo-500,1,drift,tailwind color utility in TSX
color,border-orange-300,1,drift,tailwind color utility in TSX
color,border-orange-700,1,drift,tailwind color utility in TSX
color,border-purple-200/50,1,drift,tailwind color utility in TSX
color,border-purple-300,1,drift,tailwind color utility in TSX
color,border-purple-400,1,drift,tailwind color utility in TSX
color,border-purple-500,1,drift,tailwind color utility in TSX
color,border-purple-800/50,1,drift,tailwind color utility in TSX
color,border-red-100,1,drift,tailwind color utility in TSX
color,border-red-900/20,1,drift,tailwind color utility in TSX
color,border-rose-200,1,drift,tailwind color utility in TSX
color,border-rose-800,1,drift,tailwind color utility in TSX
color,border-slate-400/40,1,near-duplicate,tailwind color utility in TSX
color,border-teal-500,1,drift,tailwind color utility in TSX
color,border-violet-200,1,drift,tailwind color utility in TSX
color,border-violet-800,1,drift,tailwind color utility in TSX
color,border-yellow-700,1,drift,tailwind color utility in TSX
color,divide-gray-100,1,near-duplicate,tailwind color utility in TSX
color,divide-gray-200,1,near-duplicate,tailwind color utility in TSX
color,ring-accent/30,1,compliant,tailwind color utility in TSX
color,ring-amber-300,1,drift,tailwind color utility in TSX
color,ring-amber-600,1,drift,tailwind color utility in TSX
color,ring-cyan-900/40,1,drift,tailwind color utility in TSX
color,ring-emerald-100,1,drift,tailwind color utility in TSX
color,ring-emerald-900/40,1,drift,tailwind color utility in TSX
color,ring-gray-500,1,near-duplicate,tailwind color utility in TSX
color,ring-green-300/70,1,drift,tailwind color utility in TSX
color,ring-indigo-900/20,1,drift,tailwind color utility in TSX
color,ring-red-300,1,drift,tailwind color utility in TSX
color,ring-violet-300/70,1,drift,tailwind color utility in TSX
color,text-accent/60,1,compliant,tailwind color utility in TSX
color,text-amber-100,1,drift,tailwind color utility in TSX
color,text-amber-500,1,drift,tailwind color utility in TSX
color,text-amber-700/80,1,drift,tailwind color utility in TSX
color,text-amber-900,1,drift,tailwind color utility in TSX
color,text-emerald-100,1,drift,tailwind color utility in TSX
color,text-emerald-900,1,drift,tailwind color utility in TSX
color,text-fuchsia-300,1,drift,tailwind color utility in TSX
color,text-fuchsia-700,1,drift,tailwind color utility in TSX
color,text-purple-500,1,drift,tailwind color utility in TSX
color,text-red-100,1,drift,tailwind color utility in TSX
color,text-red-900,1,drift,tailwind color utility in TSX
color,text-sky-400,1,drift,tailwind color utility in TSX
color,text-sky-600,1,drift,tailwind color utility in TSX
color,text-slate-300/70,1,near-duplicate,tailwind color utility in TSX
color,text-slate-300/90,1,near-duplicate,tailwind color utility in TSX
color,text-slate-400/70,1,near-duplicate,tailwind color utility in TSX
color,text-teal-600,1,drift,tailwind color utility in TSX
color,text-violet-200,1,drift,tailwind color utility in TSX
color,text-violet-800,1,drift,tailwind color utility in TSX
typography,text-xs,854,near-duplicate,tailwind text size/alignment
typography,text-[10px],588,drift,arbitrary px text size
typography,text-sm,282,near-duplicate,tailwind text size/alignment
typography,text-[11px],229,drift,arbitrary px text size
typography,text-left,169,near-duplicate,tailwind text size/alignment
typography,text-[9px],84,drift,arbitrary px text size
typography,text-center,69,near-duplicate,tailwind text size/alignment
typography,text-right,61,near-duplicate,tailwind text size/alignment
typography,text-lg,25,near-duplicate,tailwind text size/alignment
typography,text-[8px],14,drift,arbitrary px text size
typography,text-3xl,8,near-duplicate,tailwind text size/alignment
typography,text-2xl,5,near-duplicate,tailwind text size/alignment
typography,text-[12px],3,drift,arbitrary px text size
typography,text-xl,3,near-duplicate,tailwind text size/alignment
typography,text-base,2,near-duplicate,tailwind text size/alignment
typography,text-4xl,1,near-duplicate,tailwind text size/alignment
spacing,py-1,844,near-duplicate,tailwind spacing utility
spacing,px-2,600,near-duplicate,tailwind spacing utility
spacing,pr-3,519,near-duplicate,tailwind spacing utility
spacing,gap-2,386,near-duplicate,tailwind spacing utility
spacing,py-0.5,363,near-duplicate,tailwind spacing utility
spacing,py-2,311,near-duplicate,tailwind spacing utility
spacing,px-3,308,near-duplicate,tailwind spacing utility
spacing,gap-1,210,near-duplicate,tailwind spacing utility
spacing,py-1.5,202,near-duplicate,tailwind spacing utility
spacing,px-1.5,196,near-duplicate,tailwind spacing utility
spacing,mt-1,154,near-duplicate,tailwind spacing utility
spacing,mt-2,116,near-duplicate,tailwind spacing utility
spacing,p-2,112,near-duplicate,tailwind spacing utility
spacing,gap-3,94,near-duplicate,tailwind spacing utility
spacing,mb-1,84,near-duplicate,tailwind spacing utility
spacing,px-1,79,near-duplicate,tailwind spacing utility
spacing,p-3,74,near-duplicate,tailwind spacing utility
spacing,space-y-2,74,near-duplicate,tailwind spacing utility
spacing,mb-2,66,near-duplicate,tailwind spacing utility
spacing,space-y-3,62,near-duplicate,tailwind spacing utility
spacing,p-4,58,near-duplicate,tailwind spacing utility
spacing,gap-1.5,53,near-duplicate,tailwind spacing utility
spacing,space-y-1,53,near-duplicate,tailwind spacing utility
spacing,px-4,49,near-duplicate,tailwind spacing utility
spacing,mt-0.5,46,near-duplicate,tailwind spacing utility
spacing,mr-1,45,near-duplicate,tailwind spacing utility
spacing,gap-0.5,38,near-duplicate,tailwind spacing utility
spacing,mb-3,34,near-duplicate,tailwind spacing utility
spacing,mt-3,34,near-duplicate,tailwind spacing utility
spacing,gap-4,30,near-duplicate,tailwind spacing utility
spacing,space-y-0.5,21,near-duplicate,tailwind spacing utility
spacing,py-2.5,19,near-duplicate,tailwind spacing utility
spacing,pb-2,18,near-duplicate,tailwind spacing utility
spacing,space-y-4,18,near-duplicate,tailwind spacing utility
spacing,mb-1.5,17,near-duplicate,tailwind spacing utility
spacing,py-3,17,near-duplicate,tailwind spacing utility
spacing,space-y-1.5,17,near-duplicate,tailwind spacing utility
